Category,Keyword,Web_Page_URL,Tweet_Website,Author_Name,Author_Web_Page_URL,Tweet_Timestamp,Tweet_Content,Tweet_Image_URL,Tweet_Video_URL,Tweet_AD,Tweet_Number_of_Reviews,Tweet_Number_of_Retweets,Tweet_Number_of_Likes,Tweet_Number_of_Looks
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/tastytrade/status/1697704378067804239/,tastytrade,https://twitter.com/tastytrade,,Markets crash. Your app shouldn’t.,https://pbs.twimg.com/media/F4TdH0fasAAU5LO?format=jpg&name=small,https://twitter.com/tastytrade/status/1697704378067804239/,True,19,5,248,237.5K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/adeline_rg/status/1700375270174478721,AdelineReload,https://twitter.com/adeline_rg,2023-09-09,"""இந்தியா"" பெயரை மாற்ற இவன்க யாரு கோமாளி...!?!#SaveIndiaFromBJP #BharatVsIndia",,https://twitter.com/adeline_rg/status/1700375270174478721,False,39,296,747,"9,354"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Aaslihuman/status/1699077926225138021,Dr.Baba,https://twitter.com/Aaslihuman,2023-09-05,Government Changes India's name to Bharat. 1. Congress Supporters2. BJP Supporters #Bharat #BHAvsPAK #BharatVsIndia,https://pbs.twimg.com/media/F5RWXPwaIAEMhPt?format=jpg&name=small,https://twitter.com/Aaslihuman/status/1699077926225138021,False,39,97,801,88.7K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/BBQ_Guys/status/1371888737391632385/,BBQGuys.com,https://twitter.com/BBQ_Guys,,"Maximize your backyard year round with an outdoor kitchen. Expand your outdoor space for cooking, eating, entertaining, and even relaxing. Get started today at BBQGuys!",https://pbs.twimg.com/ad_img/1371888375960113152/kY0zrFXY?format=jpg&name=small,https://twitter.com/BBQ_Guys/status/1371888737391632385/,True,212,86,399,
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/AkarapuSaiteja1/status/1699208740342497495,Akarapu Saiteja,https://twitter.com/AkarapuSaiteja1,2023-09-05,"Since BJP has changed name from India to old Bharat, So all these documents will be invalid?Is 142.86 Crore Indian's should replace these all??  How many Number of Crore's to added for Government. #Bharat #BharatVsIndia #Modi #ModiGovernment",https://pbs.twimg.com/media/F5TNVhPaQAElEdT?format=jpg&name=small,https://twitter.com/AkarapuSaiteja1/status/1699208740342497495,False,30,31,173,27.7K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/ShobanaRaviNews/status/1700433532072673456,"Shobana Ravi, Author.",https://twitter.com/ShobanaRaviNews,2023-09-09,"I would rather call my country 'Bharat,' hereafter! #BharatVsIndia @TheHinduComment",https://pbs.twimg.com/media/F5knSRsWoAAG6bR?format=jpg&name=900x900,https://twitter.com/ShobanaRaviNews/status/1700433532072673456,False,21,71,293,"6,512"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/Shopping_Tools/status/1699785084080107638/,OnlineShoppingTools,https://twitter.com/Shopping_Tools,,"""Prime is now $179, but few know this saving hack.Think you're getting the best deal when you shop online? Don't buy a single thing until you try this - you won't regret it.""",https://pbs.twimg.com/media/F3FwV9KW0AANLMY?format=png&name=small,https://twitter.com/Shopping_Tools/status/1699785084080107638/,True,,,19,22.3K
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/RusyKohli/status/1699466126777016446,Rusy Kohli,https://twitter.com/RusyKohli,2023-09-06,Oops !  Considering we’re the ONLY nation that has an ocean named after it !!#IndianOcean #BharatVsIndia #Bharat #India,https://pbs.twimg.com/media/F5W3btkaYAAMp3J?format=jpg&name=small,https://twitter.com/RusyKohli/status/1699466126777016446,False,10,12,44,"2,555"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/DrJain21/status/1700444824854462513,Dr JainReload,https://twitter.com/DrJain21,2023-09-09,"#G20India2023 #BharatMandapam Real India  PR Bharat BJP unnecessarily started #BharatVsIndiaGovt hiding them by Covers, Godi media stopped reporting about themBut truth can't be hidden foreverGovt should work for Upliftment of Poor not to Rub them under the Carpet… Show more",,https://twitter.com/DrJain21/status/1700444824854462513,False,9,11,25,"1,982"
TopPost,#BharatvsIndia,https://twitter.com/search?q=#BharatvsIndia&src=typed_query&f=top,https://twitter.com/ShekhawatAyushi/status/1700109396410593352,Ayushi ShekhawatReload,https://twitter.com/ShekhawatAyushi,2023-09-08,What do you think of भारत vs INDIA? Here’s what @Pawankhera has to say about it. #BharatVsIndia,,https://twitter.com/ShekhawatAyushi/status/1700109396410593352,False,7,83,153,17.3K
